sortedClust Var2
1 070a1
1 078a1
1 079a1
1 085b1
1 087a1
1 088a1
1 089a1
1 089b1
1 091b1
1 097a1
1 100a1
1 102a1
1 107a1
1 109a1
1 111a1
1 119a1
1 015a2
1 020b2
1 030c2
1 056a2
2 082b1
2 085a1
2 091a1
2 112a1
2 114a1
2 116a1
2 003a2
2 004b2
2 008b2
2 011a2
2 011b2
2 013a2
2 026b2
2 027a2
2 030a2
2 030b2
2 031b2
2 032b2
2 034a2
2 040a2
2 042b2
2 054a2
2 060a2
3 075a1
3 076a1
3 082a1
3 086b1
3 090a1
3 095a1
3 101a1
3 105a1
3 108a1
3 115a1
3 122b1
3 001a2
3 002a2
3 003b2
3 004a2
3 005a2
3 008a2
3 015b2
3 019a2
3 022a2
3 022b2
3 025a2
3 031a2
3 033b2
3 034b2
3 035a2
3 036b2
3 037b2
3 037c2
3 039a2
3 041a2
3 042a2
3 044a2
3 044b2
3 045a2
3 047a2
3 049a2
3 050a2
3 055a2
3 059a2
4 065a1
4 069a1
4 073a1
4 086a1
4 088b1
4 092a1
4 094a1
4 096a1
4 096b1
4 106a1
4 110a1
4 113a1
4 118a1
4 122a1
4 128a1
4 016a2
4 020a2
4 054b2
4 063a2
5 014a2
5 025b2
5 029a2
5 032a2
5 033a2
5 036a2
5 037a2
5 052a2
5 057a2
5 058a2
5 061a2
5 062a2
